,UF,ACESSO_CEL,ACESSO_TABL,TEM_3G
93665,35,2.0,4.0,4.0
93666,35,2.0,4.0,2.0
93671,35,2.0,4.0,4.0
93673,35,2.0,4.0,4.0
93674,35,2.0,4.0,2.0
93675,35,2.0,2.0,2.0
93676,35,2.0,4.0,2.0
93677,35,2.0,4.0,2.0
93678,35,2.0,4.0,4.0
93679,35,2.0,2.0,2.0
93680,35,2.0,4.0,2.0
93682,35,2.0,4.0,4.0
93683,35,2.0,4.0,2.0
93684,35,2.0,4.0,4.0
93686,35,4.0,4.0,4.0
93687,35,2.0,4.0,4.0
93688,35,2.0,4.0,4.0
93689,35,2.0,2.0,4.0
93690,35,2.0,4.0,2.0
93691,35,2.0,4.0,2.0
93692,35,2.0,2.0,4.0
93693,35,2.0,4.0,2.0
93695,35,4.0,4.0,2.0
93700,35,4.0,4.0,4.0
93701,35,2.0,2.0,2.0
93703,35,2.0,2.0,4.0
93704,35,2.0,4.0,4.0
93705,35,4.0,4.0,4.0
93706,35,2.0,4.0,4.0
93707,35,2.0,4.0,4.0
93708,35,2.0,4.0,4.0
93709,35,2.0,4.0,4.0
93711,35,2.0,4.0,4.0
93712,35,2.0,4.0,2.0
93713,35,2.0,4.0,4.0
93715,35,2.0,4.0,2.0
93716,35,2.0,4.0,4.0
93719,35,2.0,4.0,4.0
93720,35,2.0,4.0,2.0
93721,35,2.0,4.0,2.0
93728,35,2.0,4.0,2.0
93730,35,2.0,4.0,2.0
93731,35,2.0,4.0,4.0
93732,35,2.0,4.0,2.0
93734,35,2.0,4.0,2.0
93735,35,2.0,4.0,2.0
93736,35,2.0,4.0,2.0
93740,35,2.0,4.0,2.0
93741,35,2.0,4.0,2.0
93742,35,2.0,4.0,2.0
93743,35,2.0,4.0,2.0
93750,35,2.0,4.0,2.0
93754,35,2.0,4.0,2.0
93765,35,2.0,4.0,2.0
93766,35,2.0,4.0,2.0
93774,35,2.0,4.0,2.0
93776,35,2.0,4.0,2.0
93777,35,2.0,4.0,2.0
93781,35,2.0,4.0,2.0
93782,35,2.0,4.0,2.0
93784,35,4.0,4.0,4.0
93787,35,2.0,4.0,2.0
93791,35,2.0,4.0,2.0
93796,35,2.0,4.0,2.0
93805,35,2.0,4.0,2.0
93812,35,2.0,4.0,2.0
93817,35,2.0,4.0,2.0
93820,35,2.0,4.0,2.0
93821,35,2.0,4.0,2.0
93822,35,2.0,4.0,2.0
93823,35,2.0,4.0,2.0
93824,35,2.0,4.0,2.0
93826,35,2.0,4.0,2.0
93831,35,2.0,4.0,2.0
93840,35,2.0,4.0,2.0
93850,35,2.0,4.0,2.0
93851,35,2.0,2.0,2.0
93852,35,2.0,4.0,2.0
93853,35,2.0,4.0,2.0
93854,35,4.0,4.0,4.0
93855,35,2.0,4.0,2.0
93856,35,2.0,4.0,2.0
93857,35,2.0,4.0,2.0
93858,35,2.0,4.0,2.0
93859,35,2.0,4.0,2.0
93862,35,2.0,4.0,2.0
93863,35,2.0,4.0,2.0
93865,35,2.0,4.0,2.0
93866,35,2.0,4.0,2.0
93870,35,2.0,4.0,2.0
93873,35,2.0,4.0,2.0
93875,35,2.0,4.0,4.0
93877,35,2.0,2.0,2.0
93878,35,2.0,2.0,2.0
93882,35,2.0,4.0,2.0
93883,35,2.0,2.0,2.0
93884,35,2.0,4.0,2.0
93885,35,2.0,2.0,2.0
93889,35,2.0,4.0,2.0
93890,35,2.0,4.0,2.0
93892,35,2.0,4.0,2.0
93894,35,2.0,4.0,2.0
93895,35,2.0,4.0,2.0
93896,35,2.0,4.0,2.0
93897,35,2.0,4.0,2.0
93899,35,2.0,4.0,2.0
93905,35,2.0,4.0,2.0
93906,35,2.0,4.0,2.0
93907,35,2.0,4.0,2.0
93908,35,2.0,4.0,2.0
93910,35,2.0,4.0,2.0
93914,35,2.0,2.0,2.0
93915,35,2.0,4.0,2.0
93921,35,2.0,4.0,4.0
93924,35,2.0,2.0,2.0
93926,35,2.0,4.0,2.0
93927,35,2.0,4.0,2.0
93928,35,2.0,4.0,2.0
93930,35,2.0,4.0,2.0
93931,35,4.0,4.0,2.0
93933,35,2.0,4.0,4.0
93934,35,2.0,4.0,2.0
93935,35,2.0,4.0,4.0
93937,35,4.0,4.0,4.0
93938,35,2.0,4.0,2.0
93939,35,2.0,4.0,2.0
93941,35,2.0,4.0,2.0
93942,35,2.0,4.0,2.0
93943,35,4.0,4.0,4.0
93947,35,2.0,4.0,2.0
93948,35,2.0,4.0,2.0
93949,35,2.0,4.0,2.0
93951,35,2.0,2.0,2.0
93952,35,2.0,4.0,2.0
93954,35,2.0,4.0,2.0
93955,35,2.0,4.0,2.0
93957,35,2.0,2.0,4.0
93958,35,2.0,4.0,2.0
93961,35,2.0,2.0,4.0
93962,35,2.0,2.0,2.0
93964,35,2.0,4.0,2.0
93965,35,2.0,4.0,2.0
93967,35,2.0,4.0,2.0
93969,35,2.0,4.0,2.0
93970,35,2.0,4.0,4.0
93971,35,2.0,4.0,2.0
93974,35,2.0,2.0,4.0
93975,35,2.0,4.0,2.0
93976,35,2.0,4.0,4.0
93977,35,2.0,4.0,4.0
93978,35,2.0,4.0,4.0
93980,35,2.0,4.0,2.0
93981,35,4.0,4.0,4.0
93982,35,2.0,4.0,4.0
93983,35,2.0,4.0,4.0
93984,35,2.0,4.0,4.0
93985,35,4.0,4.0,4.0
93989,35,2.0,4.0,4.0
93990,35,2.0,4.0,4.0
93997,35,2.0,4.0,2.0
93998,35,2.0,2.0,2.0
94000,35,2.0,4.0,2.0
94003,35,2.0,4.0,4.0
94005,35,2.0,4.0,2.0
94007,35,2.0,2.0,2.0
94008,35,2.0,4.0,2.0
94010,35,4.0,4.0,4.0
94013,35,2.0,4.0,4.0
94016,35,4.0,4.0,4.0
94018,35,4.0,4.0,4.0
94019,35,2.0,4.0,2.0
94020,35,4.0,4.0,4.0
94022,35,2.0,4.0,2.0
94023,35,2.0,4.0,4.0
94024,35,2.0,4.0,2.0
94025,35,4.0,4.0,4.0
94027,35,2.0,4.0,2.0
94028,35,2.0,4.0,2.0
94030,35,4.0,4.0,4.0
94031,35,4.0,4.0,4.0
94032,35,4.0,4.0,4.0
94033,35,2.0,4.0,2.0
94034,35,2.0,2.0,2.0
94036,35,2.0,4.0,2.0
94039,35,2.0,4.0,2.0
94040,35,2.0,4.0,2.0
94041,35,4.0,4.0,4.0
94042,35,2.0,4.0,2.0
94043,35,2.0,4.0,2.0
94045,35,2.0,4.0,2.0
94047,35,4.0,4.0,4.0
94049,35,4.0,4.0,4.0
94050,35,4.0,4.0,4.0
94051,35,2.0,4.0,2.0
94052,35,2.0,4.0,2.0
94056,35,2.0,2.0,2.0
94059,35,2.0,2.0,2.0
94061,35,4.0,4.0,2.0
94062,35,2.0,4.0,2.0
94066,35,2.0,4.0,4.0
94069,35,2.0,4.0,4.0
94070,35,2.0,4.0,2.0
94071,35,2.0,4.0,4.0
94073,35,2.0,2.0,2.0
94074,35,2.0,4.0,2.0
94075,35,2.0,2.0,4.0
94076,35,2.0,4.0,2.0
94077,35,2.0,4.0,4.0
94078,35,2.0,2.0,2.0
94081,35,2.0,4.0,2.0
94082,35,2.0,4.0,2.0
94086,35,2.0,4.0,4.0
94087,35,2.0,4.0,2.0
94088,35,2.0,4.0,2.0
94089,35,2.0,4.0,2.0
94090,35,2.0,4.0,2.0
94091,35,2.0,2.0,2.0
94094,35,2.0,2.0,2.0
94096,35,2.0,4.0,2.0
94098,35,2.0,4.0,2.0
94099,35,2.0,4.0,2.0
94105,35,2.0,4.0,2.0
94106,35,2.0,4.0,2.0
94109,35,2.0,2.0,2.0
94111,35,2.0,4.0,4.0
94112,35,2.0,4.0,2.0
94113,35,2.0,4.0,2.0
94115,35,2.0,4.0,2.0
94117,35,2.0,2.0,2.0
94123,35,2.0,4.0,4.0
94125,35,2.0,4.0,2.0
94126,35,2.0,4.0,2.0
94127,35,2.0,4.0,2.0
94128,35,2.0,2.0,2.0
94132,35,2.0,2.0,2.0
94133,35,2.0,4.0,2.0
94134,35,2.0,4.0,4.0
94135,35,2.0,4.0,4.0
94136,35,2.0,2.0,2.0
94137,35,2.0,4.0,2.0
94138,35,2.0,4.0,2.0
94141,35,2.0,2.0,4.0
94143,35,2.0,2.0,4.0
94144,35,2.0,2.0,2.0
94145,35,2.0,2.0,4.0
94147,35,2.0,2.0,4.0
94148,35,2.0,4.0,4.0
94150,35,2.0,2.0,2.0
94152,35,2.0,4.0,4.0
94153,35,2.0,4.0,4.0
94154,35,2.0,4.0,2.0
94156,35,4.0,4.0,4.0
94157,35,2.0,4.0,4.0
94158,35,2.0,4.0,4.0
94160,35,2.0,4.0,2.0
94162,35,2.0,2.0,4.0
94164,35,4.0,4.0,4.0
94165,35,2.0,2.0,4.0
94166,35,2.0,4.0,4.0
94167,35,2.0,4.0,4.0
94169,35,2.0,4.0,4.0
94170,35,2.0,4.0,4.0
94172,35,2.0,2.0,4.0
94173,35,2.0,2.0,4.0
94174,35,2.0,4.0,4.0
94177,35,2.0,4.0,2.0
94180,35,2.0,4.0,4.0
94181,35,2.0,2.0,4.0
94182,35,2.0,4.0,2.0
94183,35,2.0,4.0,4.0
94184,35,2.0,4.0,2.0
94187,35,2.0,4.0,2.0
94188,35,4.0,2.0,4.0
94189,35,2.0,4.0,4.0
94190,35,2.0,4.0,4.0
94192,35,2.0,4.0,4.0
94194,35,2.0,2.0,4.0
94197,35,2.0,4.0,4.0
94198,35,2.0,4.0,4.0
94199,35,2.0,4.0,4.0
94204,35,2.0,4.0,2.0
94205,35,2.0,2.0,2.0
94208,35,2.0,4.0,4.0
94209,35,2.0,4.0,4.0
94211,35,2.0,4.0,4.0
94212,35,2.0,2.0,4.0
94213,35,2.0,2.0,4.0
94214,35,2.0,4.0,4.0
94217,35,2.0,4.0,2.0
94218,35,2.0,4.0,4.0
94219,35,2.0,2.0,4.0
94220,35,2.0,4.0,2.0
94221,35,2.0,2.0,4.0
94222,35,2.0,4.0,4.0
94224,35,2.0,4.0,4.0
94227,35,2.0,4.0,2.0
94228,35,2.0,4.0,2.0
94230,35,2.0,2.0,2.0
94231,35,4.0,4.0,4.0
94233,35,2.0,4.0,2.0
94234,35,2.0,4.0,2.0
94235,35,2.0,4.0,2.0
94236,35,2.0,4.0,2.0
94239,35,2.0,4.0,2.0
94241,35,2.0,4.0,2.0
94242,35,2.0,4.0,4.0
94246,35,2.0,4.0,2.0
94248,35,2.0,2.0,2.0
94250,35,2.0,4.0,2.0
94254,35,2.0,2.0,2.0
94256,35,2.0,4.0,2.0
94263,35,2.0,4.0,2.0
94265,35,2.0,4.0,2.0
94267,35,2.0,4.0,2.0
94270,35,2.0,4.0,2.0
94273,35,2.0,4.0,2.0
94275,35,2.0,2.0,2.0
94277,35,2.0,2.0,2.0
94278,35,2.0,2.0,2.0
94280,35,2.0,4.0,2.0
94281,35,2.0,2.0,2.0
94284,35,2.0,4.0,2.0
94287,35,2.0,4.0,2.0
94291,35,2.0,2.0,2.0
94292,35,2.0,4.0,2.0
94294,35,2.0,2.0,2.0
94296,35,2.0,4.0,4.0
94299,35,2.0,4.0,2.0
94300,35,2.0,2.0,4.0
94301,35,2.0,4.0,2.0
94302,35,2.0,2.0,2.0
94304,35,2.0,2.0,2.0
94305,35,2.0,4.0,4.0
94306,35,2.0,2.0,4.0
94307,35,2.0,2.0,2.0
94308,35,2.0,4.0,4.0
94309,35,2.0,4.0,4.0
94310,35,2.0,4.0,4.0
94311,35,2.0,2.0,4.0
94313,35,2.0,2.0,4.0
94314,35,2.0,4.0,2.0
94315,35,2.0,2.0,4.0
94316,35,4.0,4.0,4.0
94318,35,2.0,2.0,2.0
94320,35,2.0,2.0,2.0
94321,35,2.0,4.0,4.0
94323,35,2.0,4.0,2.0
94324,35,2.0,2.0,4.0
94326,35,2.0,4.0,2.0
94327,35,2.0,2.0,2.0
94328,35,2.0,2.0,2.0
94329,35,2.0,4.0,2.0
94330,35,2.0,2.0,4.0
94331,35,2.0,4.0,4.0
94332,35,2.0,4.0,2.0
94333,35,2.0,4.0,2.0
94335,35,2.0,2.0,2.0
94336,35,2.0,2.0,2.0
94338,35,2.0,2.0,2.0
94339,35,2.0,2.0,2.0
94340,35,2.0,2.0,2.0
94341,35,2.0,2.0,2.0
94343,35,2.0,2.0,2.0
94344,35,2.0,2.0,2.0
94345,35,4.0,2.0,2.0
94346,35,2.0,2.0,2.0
94347,35,2.0,2.0,2.0
94348,35,2.0,2.0,2.0
94349,35,2.0,2.0,2.0
94351,35,2.0,2.0,2.0
94354,35,2.0,2.0,2.0
94355,35,2.0,2.0,2.0
94357,35,2.0,2.0,2.0
94358,35,2.0,2.0,2.0
94359,35,2.0,2.0,2.0
94360,35,2.0,2.0,2.0
94366,35,2.0,2.0,2.0
94375,35,2.0,2.0,2.0
94381,35,2.0,2.0,2.0
94385,35,2.0,2.0,2.0
94390,35,4.0,4.0,4.0
94391,35,2.0,4.0,4.0
94393,35,2.0,2.0,2.0
94394,35,2.0,2.0,4.0
94395,35,2.0,2.0,4.0
94396,35,4.0,2.0,4.0
94397,35,2.0,2.0,4.0
94399,35,4.0,2.0,4.0
94400,35,2.0,2.0,4.0
94401,35,2.0,2.0,4.0
94402,35,2.0,4.0,4.0
94403,35,2.0,4.0,4.0
94404,35,2.0,4.0,4.0
94405,35,2.0,4.0,2.0
94406,35,2.0,2.0,4.0
94407,35,2.0,2.0,4.0
94408,35,2.0,2.0,2.0
94409,35,2.0,2.0,2.0
94410,35,2.0,4.0,2.0
94411,35,4.0,2.0,2.0
94413,35,2.0,2.0,2.0
94414,35,2.0,2.0,2.0
94416,35,2.0,2.0,2.0
94417,35,2.0,2.0,2.0
94418,35,2.0,2.0,2.0
94419,35,2.0,4.0,2.0
94420,35,2.0,4.0,2.0
94422,35,2.0,4.0,2.0
94424,35,4.0,4.0,4.0
94425,35,2.0,4.0,2.0
94426,35,2.0,4.0,2.0
94428,35,2.0,2.0,2.0
94430,35,2.0,2.0,2.0
94431,35,2.0,2.0,2.0
94432,35,2.0,2.0,2.0
94436,35,2.0,2.0,2.0
94437,35,2.0,4.0,2.0
94438,35,2.0,4.0,2.0
94441,35,2.0,2.0,4.0
94443,35,2.0,4.0,2.0
94446,35,2.0,4.0,2.0
94449,35,2.0,4.0,2.0
94450,35,2.0,2.0,2.0
94454,35,2.0,2.0,2.0
94455,35,2.0,4.0,2.0
94457,35,4.0,4.0,4.0
94460,35,2.0,4.0,2.0
94462,35,2.0,4.0,2.0
94465,35,2.0,4.0,2.0
94466,35,2.0,4.0,4.0
94468,35,2.0,4.0,2.0
94469,35,2.0,2.0,2.0
94470,35,4.0,4.0,4.0
94471,35,2.0,4.0,4.0
94474,35,2.0,4.0,4.0
94476,35,2.0,4.0,4.0
94477,35,2.0,4.0,2.0
94479,35,2.0,4.0,2.0
94485,35,2.0,4.0,2.0
94486,35,2.0,4.0,4.0
94487,35,2.0,4.0,4.0
94490,35,2.0,4.0,4.0
94491,35,2.0,4.0,2.0
94493,35,2.0,4.0,4.0
94494,35,2.0,4.0,4.0
94495,35,2.0,4.0,2.0
94496,35,2.0,4.0,2.0
94500,35,2.0,2.0,4.0
94504,35,2.0,4.0,4.0
94505,35,2.0,4.0,4.0
94508,35,2.0,4.0,4.0
94509,35,2.0,4.0,2.0
94512,35,2.0,2.0,4.0
94513,35,2.0,2.0,4.0
94514,35,4.0,4.0,4.0
94515,35,2.0,2.0,4.0
94516,35,2.0,4.0,4.0
94518,35,2.0,2.0,4.0
94519,35,2.0,4.0,4.0
94521,35,4.0,4.0,4.0
94524,35,2.0,4.0,4.0
94526,35,2.0,2.0,4.0
94527,35,2.0,2.0,4.0
94528,35,2.0,2.0,4.0
94529,35,2.0,4.0,4.0
94532,35,2.0,4.0,4.0
94534,35,2.0,4.0,2.0
94535,35,2.0,4.0,2.0
94536,35,2.0,4.0,2.0
94538,35,2.0,4.0,2.0
94539,35,2.0,2.0,2.0
94541,35,2.0,4.0,2.0
94542,35,2.0,4.0,2.0
94543,35,2.0,2.0,2.0
94544,35,2.0,2.0,2.0
94547,35,2.0,4.0,2.0
94551,35,2.0,2.0,2.0
94552,35,2.0,2.0,2.0
94553,35,2.0,4.0,2.0
94554,35,2.0,2.0,2.0
94556,35,2.0,4.0,2.0
94562,35,2.0,4.0,2.0
94563,35,2.0,4.0,2.0
94566,35,2.0,4.0,2.0
94567,35,2.0,4.0,2.0
94569,35,2.0,4.0,2.0
94572,35,2.0,4.0,2.0
94574,35,2.0,4.0,2.0
94575,35,2.0,4.0,2.0
94576,35,2.0,4.0,2.0
94578,35,2.0,4.0,2.0
94580,35,2.0,4.0,2.0
94581,35,2.0,2.0,2.0
94583,35,2.0,4.0,2.0
94584,35,2.0,4.0,2.0
94585,35,2.0,2.0,2.0
94586,35,2.0,4.0,2.0
94588,35,2.0,4.0,2.0
94589,35,2.0,4.0,2.0
94593,35,2.0,4.0,2.0
94594,35,2.0,2.0,2.0
94597,35,2.0,4.0,2.0
94598,35,2.0,4.0,2.0
94599,35,2.0,4.0,2.0
94600,35,2.0,4.0,2.0
94602,35,4.0,4.0,4.0
94603,35,4.0,4.0,4.0
94604,35,2.0,4.0,2.0
94605,35,2.0,4.0,2.0
94606,35,2.0,4.0,2.0
94607,35,2.0,2.0,2.0
94609,35,4.0,4.0,4.0
94610,35,2.0,4.0,2.0
94611,35,2.0,4.0,2.0
94613,35,2.0,4.0,2.0
94615,35,2.0,4.0,2.0
94617,35,2.0,4.0,2.0
94619,35,4.0,4.0,4.0
94620,35,2.0,4.0,2.0
94622,35,2.0,4.0,2.0
94623,35,4.0,2.0,4.0
94624,35,2.0,4.0,2.0
94625,35,2.0,4.0,2.0
94626,35,2.0,4.0,2.0
94629,35,2.0,4.0,2.0
94630,35,2.0,4.0,2.0
94631,35,2.0,4.0,2.0
94632,35,2.0,4.0,2.0
94633,35,2.0,4.0,2.0
94634,35,2.0,4.0,2.0
94635,35,2.0,4.0,2.0
94636,35,2.0,4.0,2.0
94639,35,2.0,2.0,2.0
94643,35,2.0,4.0,2.0
94645,35,2.0,4.0,2.0
94646,35,2.0,4.0,2.0
94647,35,2.0,4.0,2.0
94649,35,2.0,4.0,2.0
94652,35,2.0,4.0,2.0
94654,35,2.0,4.0,2.0
94656,35,2.0,4.0,2.0
94657,35,2.0,4.0,2.0
94658,35,2.0,2.0,2.0
94659,35,2.0,2.0,2.0
94660,35,2.0,2.0,2.0
