,V061112,V061113,V06112,V8005,V6003
311,1.0,1.0,1.0,64,-
312,1.0,1.0,1.0,37,-
313,1.0,1.0,1.0,35,-
314,1.0,1.0,1.0,15,2.0
315,1.0,1.0,1.0,40,-
316,1.0,1.0,1.0,36,-
317,1.0,2.0,1.0,65,-
318,1.0,1.0,1.0,64,-
319,1.0,1.0,1.0,61,-
320,1.0,1.0,1.0,64,-
321,1.0,1.0,1.0,60,-
322,1.0,1.0,1.0,45,-
323,1.0,1.0,1.0,42,-
324,1.0,2.0,1.0,54,-
325,1.0,1.0,1.0,62,-
326,1.0,1.0,1.0,62,-
327,-,-,3.0,87,-
328,1.0,1.0,1.0,46,-
329,1.0,1.0,1.0,43,-
330,1.0,1.0,1.0,63,-
331,1.0,1.0,1.0,59,-
332,1.0,1.0,1.0,60,-
333,1.0,1.0,1.0,53,-
334,1.0,1.0,1.0,48,-
335,1.0,1.0,1.0,18,5.0
336,1.0,1.0,1.0,35,-
337,1.0,1.0,1.0,43,-
338,-,-,-,7,1.0
339,2.0,1.0,1.0,66,-
340,2.0,1.0,1.0,64,-
341,1.0,2.0,1.0,22,-
342,-,-,3.0,69,-
343,-,-,3.0,62,-
344,-,-,1.0,67,-
345,-,-,1.0,65,-
346,1.0,1.0,1.0,36,-
347,1.0,1.0,1.0,37,-
348,1.0,1.0,1.0,28,-
349,-,-,-,4,9.0
350,1.0,1.0,1.0,73,-
351,1.0,1.0,1.0,68,-
352,1.0,1.0,1.0,47,-
353,-,-,3.0,68,-
354,-,-,3.0,65,-
355,1.0,1.0,1.0,46,-
356,1.0,1.0,1.0,47,-
357,1.0,1.0,1.0,18,5.0
358,2.0,1.0,1.0,68,-
359,-,-,1.0,66,-
360,-,-,1.0,74,-
361,1.0,1.0,1.0,66,-
362,2.0,2.0,3.0,63,-
363,1.0,1.0,1.0,40,-
364,1.0,1.0,1.0,64,-
365,-,-,3.0,56,-
366,1.0,1.0,1.0,37,-
367,2.0,1.0,1.0,42,-
368,-,-,1.0,41,-
369,1.0,1.0,1.0,10,1.0
370,1.0,2.0,3.0,51,-
371,-,-,3.0,47,-
372,1.0,1.0,1.0,20,5.0
373,2.0,1.0,1.0,27,-
374,2.0,1.0,1.0,19,-
375,2.0,1.0,1.0,53,-
376,-,-,1.0,53,-
377,2.0,1.0,1.0,23,-
378,-,-,1.0,63,-
